occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
4216,Other instructors,42.00000000,3.28999996,4.82999992,3.59999990,1.62000000,4.94999981,1.33000004,1.80999994,3.18000007,3.22000003,1.90999997,1.00000000,1.24000001,1.00000000,7185
4217,Other religious occupations,42.00000000,4.28499985,4.78499985,4.32499981,2.05999994,4.77000046,1.55500007,1.82500005,3.05500007,3.83500004,2.79999995,1.07500005,1.05500007,1.00999999,1330
4311,Police officers (except commissioned),43.00000000,3.37333345,4.73222208,4.61444426,2.96222234,4.71444464,2.75000000,4.05999994,3.87444448,4.09000015,4.34444427,1.63777781,3.18555546,2.34333324,10210
4312,Firefighters,43.00000000,4.16400003,4.72399998,4.45799971,3.14400005,4.78800011,3.03999996,4.44199991,3.96600008,4.49599981,4.40799999,2.42400002,4.21199989,3.17400002,4815
4411,Home child care providers,44.00000000,4.46500015,4.33500004,2.65000010,2.58500004,4.62500000,2.62500000,2.94000006,3.98500013,2.28999996,2.76999998,1.00000000,2.02999997,1.00000000,15630
4412,"Home support workers, housekeepers and related occupations",44.00000000,4.76000023,4.36999989,3.32999992,3.51999998,4.21000004,1.11000001,1.26999998,4.36000013,3.09999990,2.14000010,1.00000000,4.19999981,1.32000005,14905
4413,Elementary and secondary school teacher assistants,44.00000000,3.50999999,4.65000010,3.02999997,2.43000007,4.65000010,1.71000004,2.92000008,4.51999998,2.30999994,1.03999996,1.00999999,1.54999995,1.00000000,19690
4421,Sheriffs and bailiffs,44.00000000,3.44500017,4.76999998,4.88000011,3.34500003,4.72500038,2.01999998,3.07000017,4.19000006,4.31000042,3.22499990,1.54999995,3.21500015,2.27999997,545
4422,Correctional service officers,44.00000000,3.85500002,4.74499989,4.06500006,4.13000011,4.36499977,1.87000000,2.94999981,4.03499985,3.28499985,2.84499979,1.23000002,3.13999987,1.69499993,3345
4423,"By-law enforcement and other regulatory officers, n.e.c.",44.00000000,2.99250007,4.40250015,4.12249994,2.41750002,4.36250019,2.12500000,3.57249999,3.15499997,3.61500001,3.54250002,1.34249997,2.16000009,1.36249995,1315
