occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial
8615,"Oil and gas drilling, servicing and related labourers",86,2.8299999,4.1500001,2.6900001,1.13,4.6099997,1.97,3.5599999,3.855,2.135,2.2049999,2.8,4.9650002,2.9499998
8616,Logging and forestry labourers,86,2.3800001,3.8,3.29,1.04,4.5500002,2.4000001,4.96,2.9000001,3.01,3.4200001,2.49,4.8299999,1.72
9211,"Supervisors, mineral and metal ",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9212,"Supervisors, petroleum, gas and chemical processing and utilities",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9213,"Supervisors, food and beverage processing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9214,"Supervisors, plastic and rubber products manufacturing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9215,"Supervisors, forest products processing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9221,"Supervisors, motor vehicle assembling",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9222,"Supervisors, electronics manufacturing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9223,"Supervisors, electrical products manufacturing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
