province,occ_4_digit,female,lives_with_health_worker,lives_with_health_worker_1,lives_with_health_worker_2,lives_with_health_worker_3,age_60_plus,lives_with_age_60_plus,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_plus,lives_with_kids_17_under,lives_with_kids_5_under,lives_with_kids_6_12,lives_with_kids_13_17,lives_with_kids_6_17,lone_parent,multi_gen_hh,low_income_family,educ_lesshighschool,educ_highschool,educ_somecollege,educ_bachelor,main_earner_cf,main_earner_ef,main_earner_hh,language_spoken_not_english,immigrant,nonperm_res,visible_minority_1,visible_minority_2,unsuitable_dwelling,shelter_cost_income_ratio,low_income_nbhd,number_of_families,takes_public_transit,duration_of_commute,work_from_home,mental_health_sometimes,mental_health_always
ON,7292,.045146327,.113074,.04732839,.047699943,.024969196,.12600718,.24095513,.093363754,.24260621,.19571264,.24447976,.17207207,.03668046,.015085127,.33402961,.14969724,.13358434,.13505623,.22765499,.037770141,.05719636,.092898846,.16934896,.33288446,.44030342,.057463206,.65880072,.62117988,.5937832,.10896669,.076815955,.016903324,.17151177,.19517529,.085288867,36.546482,.21054685,309363.16,.070857137,34.934288,.035008036,.10453659,.02355703
ON,7293,.02244816,.15380043,.046804372,.046227109,.065330893,.070169151,.18769583,.12817197,.28210613,.24591041,.18983394,.13441274,.019620249,-.000055455992,.40687612,.18726529,.16849302,.15157044,.27787918,.050111186,.078923509,.10699353,.17786723,.29862887,.49791506,.025588883,.6786834,.64429677,.60876858,.078924254,.066445619,.0051836665,.14363532,.17477454,.097971529,45.239456,.14824934,229316.55,.072153032,37.980564,.015975283,.094625071,.023037769
ON,7294,.13857158,.10162534,.04087187,.030598139,.03075232,.15830044,.29982278,.12005752,.17613256,.19680969,.23557413,.20364602,.057808802,.0099712918,.36221045,.14521439,.17525123,.16794178,.28452712,.042261336,.081977166,.25665018,.25978273,.41255954,.26084015,.066817626,.50085646,.46488723,.407323,.21474217,.11684298,.01960534,.24043441,.26221681,.12885746,75.909012,.2471918,360236.94,.085572332,33.613716,.052087087,.11350638,.039204795
ON,7295,.035087775,.10554445,.044016149,.025324719,.037145559,.11362401,.25799382,.11295152,.21816793,.22509131,.23415142,.15959495,.038893357,.011149535,.40828285,.17665303,.20045131,.174992,.31015497,.030169671,.089902781,.22207133,.28395322,.4020344,.27220246,.041809939,.52908784,.48469719,.44317305,.19816808,.091019779,.01420689,.21377955,.24261765,.11282977,60.941162,.20259845,309415.34,.031820603,36.110085,.037619837,.097411066,.031838298
ON,7301,.043924421,.12891811,.048821293,.046159871,.036988918,.1506138,.24260972,.020178298,.13393962,.22825803,.31363189,.24121676,.056129891,.006645544,.42354295,.16866586,.19647187,.19501904,.32584208,.03450989,.071842633,.060724359,.06422279,.16758373,.68802136,.080172151,.73988616,.73068923,.71998358,.086629078,.030397875,.0024612439,.14096946,.16329561,.058849476,22.704428,.10425451,182187.27,.015922008,30.237165,.050087877,.079108641,.019410091
ON,7302,.029217873,.1109921,.043199908,.041601636,.02788689,.126664,.21887824,.036598895,.19596334,.23586783,.28155032,.19952726,.042378034,.0081143426,.40660265,.18416767,.19599402,.16839804,.30078474,.027284415,.058868866,.040741965,.21435437,.36649808,.35475487,.064392678,.81608558,.79965246,.78773898,.066753864,.025708005,.0038478277,.077869527,.11755335,.049884256,22.206312,.11249964,187177.17,.019691944,37.776356,.02118646,.06484285,.014051626
ON,7303,.30218887,.092846245,.03066491,.040506329,.024397444,.15399222,.29380593,.014902031,.1390103,.22292872,.34058341,.23047693,.049438126,.0026605499,.36838305,.12717019,.14478172,.16973357,.27331427,.053519826,.067562521,.027854156,.1396334,.3945846,.3002907,.16549134,.69236791,.66359895,.64667779,.098926969,.031571571,.0064033349,.2622157,.26948631,.078439116,22.501743,.26185733,387181.72,.069777705,33.42989,.029569337,.10169725,.023238819
ON,7304,.084823199,.16341968,.077384464,.066389665,.019350545,.084995292,.17677476,.013395196,.20209721,.24415921,.30203548,.21640897,.016232494,.0056714257,.41316116,.19523546,.18424247,.17120053,.29367849,.030019136,.05071729,.017391082,.084925137,.40309003,.36837414,.14361073,.87865514,.86668915,.86780274,.039128695,.029709401,-.00034987749,.098240197,.14787039,.065608472,15.39416,.18488169,270568.88,.038378067,43.448387,.0023927682,.063033409,.02955929
ON,7305,.23710559,.092155099,.036305245,.026499445,.030339614,.1516511,.30371135,.017680928,.13329144,.24058567,.32078853,.21680839,.06544403,.0054010404,.4223679,.16122909,.19593185,.19835874,.33904853,.052043319,.11147375,.061996695,.12697914,.3457576,.39233059,.13493268,.75792897,.73169005,.70941985,.092148319,.05383436,.0063330089,.24219351,.2654703,.10538568,31.091204,.18053854,292211.31,.065789834,30.127886,.037350073,.081516176,.022528974
ON,7311,.013006842,.15520501,.054950744,.062216192,.040993858,.16247261,.24887998,.056419458,.14355198,.17608938,.2889995,.282217,.04749117,.0052315495,.35127777,.13378297,.16792497,.15812707,.27350363,.036039487,.056188274,.021700013,.05130139,.12914012,.7634545,.056104004,.82626981,.8134501,.80315644,.093280688,.02420412,.0035707741,.12890889,.15780883,.049473252,19.691147,.091055319,146138.03,.020742424,30.854731,.010372853,.081337743,.018922159
